week,timestep,catch,eff_hrs,eff_fsh,weight_kg
1,51,238.8,45.5,14,0.019552299606609546
2,52,150.5,54.8,14,0.01696109384371095
3,53,138,53.3,14,0.01952796700444626
4,54,209.9,69.9,16,0.017520255773225288
5,55,480,106.9,30,0.025133653661955652
6,56,1058,204.5,56,0.023413765146202917
7,57,1165.5,233.6,62,0.01774964806806966
8,58,857.6,174.85,50,0.021137258820174584
9,59,755.39,171.9,45,0.024315057761551722
10,60,625.8,138.2,37,0.018504987242243146
11,61,902.29,185.2,49,0.023227605174695378
12,62,476.7,93.39999999999999,26,0.020429657755457024
13,63,837.65,164.1,45,0.017825781253903304
14,64,114,18,7,0.019134223614080716
15,65,140,22.5,7,0.02271497950893233
16,66,140,26,7,0.021298750152474347
17,67,140,25.5,7,0.020108142199549067
18,68,140,24.5,7,0.025700563114856963
19,69,139.8,24.5,7,0.022821789723389125
20,70,140,26.5,7,0.022216400514485368
21,71,138.7,25.5,7,0.02264434577810639
22,72,175.8,40,10,0.017648017646815096
23,73,512.1,120.5,30,0.019321461516258277
24,74,395.5,102.6,25,0.021468303463380075
25,75,669,134.5,36,0.021530339611002872
26,76,420.90000000000003,100.15,27,0.018232915548136955
27,77,333,84.5,20,0.020772651892652285
28,78,379.6,91.5,22,0.018441761022298313
29,79,349,60.7,18,0.024004269396852813
30,80,560.3,128,33,0.020915952868356603
31,81,217.6,57.5,13,0.01857731053982024
32,82,375.6,78.5,22,0.019185439685907843
33,83,290,53,16,0.01782594165741876
34,84,536.8,94.5,29,0.02046126345530525
35,85,217,45,14,0.021101147004510438
36,86,583.2,124,34,0.020457915331304366
37,87,346.2,83.5,22,0.022856403555679635
38,88,609.8,119,32,0.019207746593284527
39,89,368.5,79,20,0.022619390047255467
40,90,454.4,83.15,25,0.021407089207510246
41,91,418.6,77,23,0.019996316338034614
42,92,682.9,129.5,36,0.01945162081756306
43,93,379.2,69.3,21,0.020786506649544952
44,94,412.5,80,22,0.023415099884412097
45,95,800,151.45000000000002,41,0.019109686464549185
46,96,632.6,122,33,0.022582712301251865
47,97,608,113.60000000000001,32,0.017179958426694925
48,98,400,81.1,21,0.020393124219435652
49,99,332.4,72.5,17,0.01990229436908961
50,100,381,86,20,0.022688483759330278
51,101,464,104,24,0.018332874172043614
52,102,363,82.4,19,0.015617163025171354
